site_id,collect_siteid,collect_year,release_year,type,n
70279,70567,2020,2021,reintroduction,46
70279,70567,2021,2022,reintroduction,47
70413,70567,2020,2021,reintroduction,46
70413,70567,2021,2021,translocation,25
70413,70567,2021,2022,reintroduction,47
70413,70567,2022,2022,translocation,20
70611,70215,2020,2021,reintroduction,89
70611,70215,2021,2021,translocation,30
